rank,folder,name,verified,oss,site,is_target,total_instances,submitted_instances,completed_instances,resolved_instances_reported,resolved_instances,resolved_out_of_index,denominator,rate,ci_lo,ci_hi
23,20250329_MSWE-agent_DeepSeek-V3,MSWE-agent + DeepSeek-V3,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,113,113,15,15,0,128,0.1171875,0.0723168232183475,0.1843661592702282
24,20250426_MSWE-agent_Doubao-1.5-thinking,MSWE-agent + Doubao-1.5-thinking,True,True,https://github.com/multi-swe-bench/MSWE-agent,False,128,127,127,15,15,0,128,0.1171875,0.0723168232183475,0.1843661592702282
25,20250329_MagentLess_GPT-4o-1120,MagentLess + GPT-4o-1120,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,120,120,15,15,0,128,0.1171875,0.0723168232183475,0.1843661592702282
26,20250329_MagentLess_Qwen2.5-72B-Instruct,MagentLess + Qwen2.5-72B-Instruct,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,92,92,14,14,0,128,0.109375,0.0662787954459196,0.1752344519914027
27,20250426_MopenHands_Doubao-1.5-thinking,MopenHands + Doubao-1.5-thinking,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,127,127,14,14,0,128,0.109375,0.0662787954459196,0.1752344519914027
28,20250329_MopenHands_OpenAI-o3-mini-high,MopenHands + OpenAI-o3-mini-high,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,82,64,13,13,0,128,0.1015625,0.0603186484803698,0.1660248639056988
29,20250329_MSWE-agent_DeepSeek-R1,MSWE-agent + DeepSeek-R1,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,125,125,12,12,0,128,0.09375,0.0544438041678058,0.1567299731670093
30,20250329_MopenHands_DeepSeek-V3,MopenHands + DeepSeek-V3,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,94,72,12,12,0,128,0.09375,0.0544438041678058,0.1567299731670093
31,20250329_MopenHands_GPT-4o-1120,MopenHands + GPT-4o-1120,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,93,74,12,12,0,128,0.09375,0.0544438041678058,0.1567299731670093
32,20250329_MopenHands_DeepSeek-R1,MopenHands + DeepSeek-R1,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,86,55,11,11,0,128,0.0859375,0.0486631311557363,0.1473409111278252
33,20250329_MSWE-agent_Doubao-1.5-pro,MSWE-agent + Doubao-1.5-pro,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,120,120,9,9,0,128,0.0703125,0.0374297681215614,0.1282348040594931
34,20250329_MagentLess_DeepSeek-V3,MagentLess + DeepSeek-V3,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,64,64,9,9,0,128,0.0703125,0.0374297681215614,0.1282348040594931
35,20250426_MSWE-agent_Llama-4-Maverick,MSWE-agent + Llama-4-Maverick,True,True,https://github.com/multi-swe-bench/MSWE-agent,False,128,127,127,8,8,0,128,0.0625,0.0320069255303854,0.1184879115994155
36,20250426_MopenHands_Llama-4-Maverick,MopenHands + Llama-4-Maverick,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,127,127,8,8,0,128,0.0625,0.0320069255303854,0.1184879115994155
37,20250329_MagentLess_Doubao-1.5-pro,MagentLess + Doubao-1.5-pro,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,50,50,7,7,0,128,0.0546875,0.0267402012351835,0.1085849008433639
38,20250329_MagentLess_OpenAI-o3-mini-high,MagentLess + OpenAI-o3-mini-high,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,42,42,7,7,0,128,0.0546875,0.0267402012351835,0.1085849008433639
39,20250329_MopenHands_OpenAI-o1,MopenHands + OpenAI-o1,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,81,67,5,5,0,128,0.0390625,0.0167986106914574,0.0881870212845829
40,20250329_MopenHands_Qwen2.5-72B-Instruct,MopenHands + Qwen2.5-72B-Instruct,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,101,85,4,4,0,128,0.03125,0.012218265160201,0.0775976317645857
41,20250329_MSWE-agent_Qwen2.5-72B-Instruct,MSWE-agent + Qwen2.5-72B-Instruct,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,112,112,3,3,0,128,0.0234375,0.0080024163345308,0.0666437455390023
42,20250329_MopenHands_Doubao-1.5-pro,MopenHands + Doubao-1.5-pro,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,100,28,1,1,0,128,0.0078125,0.0013804318776224,0.0429262598934037
