submission_dir,name,org,os_model,os_system,resolved,rate,ci_lo,ci_hi,n_no_generation,n_no_logs
20250804_codesweep_sweagent_kimi_k2_instruct,CodeSweep - SWE-agent - Kimi K2 Instruct,['CodeSweep Inc.'],True,True,267,0.534,0.49018232196049,0.5772992228800079,18,1
20250120_Bracket,Bracket.sh,,False,False,266,0.532,0.48818610778755606,0.5753259344152654,17,0
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,OpenHands + CodeAct v2.1 (claude-3-5-sonnet-20241022),OpenHands,False,True,265,0.53,0.48619059107952517,0.57335194848562,6,1
20250901_entroPO_R2E_QwenCoder30BA3B,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct,['42-b3yond-6ug'],True,True,261,0.522,0.47821548906951605,0.5654490399449237,12,0
20241212_google_jules_gemini_2.0_flash_experimental,Google Jules + Gemini 2.0 Flash (v20241212-experimental),Google,False,False,261,0.522,0.47821548906951605,0.5654490399449237,0,0
20241125_enginelabs,Engine Labs (2024-11-25),['Engine Labs'],False,False,259,0.518,0.4742321110242381,0.5614934127148489,8,0
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,,,,258,0.516,0.4722414639931954,0.5595145571082153,0,1
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,AutoCodeRover-v2.1 (Claude-3.5-Sonnet-20241022),,False,False,258,0.516,0.4722414639931954,0.5595145571082153,5,0
20241202_agentless-1.5_claude-3.5-sonnet-20241022,Agentless-1.5 + Claude-3.5 Sonnet (20241022),Agentless,False,True,254,0.508,0.46428581629919696,0.5515921942515085,3,0
20241028_solver,Solver (2024-10-28),,False,False,250,0.5,0.4563412649607354,0.5436587350392645,1,0
20241125_marscode-agent-dev,Bytedance MarsCode Agent,Bytedance,False,False,250,0.5,0.4563412649607354,0.5436587350392645,2,0
20241105_nfactorial,nFactorial (2024-11-05),,False,False,246,0.492,0.4484078057484916,0.5357141837008031,10,1
20241022_tools_claude-3-5-sonnet-updated,Tools + Claude 3.5 Sonnet (2024-10-22),Anthropic,False,False,245,0.49,0.4464261743998208,0.5337263124117976,14,3
20241025_composio_swekit,Composio SWE-Kit (2024-10-25),,False,True,243,0.486,0.44246499277304874,0.529748488763217,1,0
20241106_navie-2-gpt4o-sonnet,AppMap Navie v2,,False,True,236,0.472,0.4286227343921801,0.5158042286803511,7,0
20250616_Skywork-SWE-32B+TTS_Bo8,Skywork-SWE-32B + TTS(Bo8),Skywork AI,True,True,235,0.47,0.42664805151438,0.5138094089204749,0,1
